Variable Name;Variable Label;Variable Type;Variable Label
Years;Years;Nominal;2: 2012 | 3: 2013 | 4: 2014 | 5: 2015 | 6: 2016| 7: 2017 | 8: 2018 | 9: 2019
mortality;ICU mortality;Nominal;0: No | 1: Yes
Age;Age (years);Scale;
Trauma_mechanism;Trauma mechanism;Nominal;1: GSW/SW | 3: Physical Aggression | 4: Run over | 5: Cyclist | 6: Collision | 7: Motorbike | 8: SLF | 9: OLF
ApacheII;Apache II;Scale;
Glasgow;Worst Glasgow Coma Scale score in the first 24 h;Scale;
SOFA;SOFA score in the first 24 h;Scale;
n_injuries_CT;Number of injuries on cranial CT;Nominal;0: None | 1: One | 2: Two | 3: Three
Cerebral_contusion_CT;Cerebral contusion evidenced on cranial CT;Nominal;0: patients without injury | 1: Cerebral contusion
DAI_CT;Diffuse axonal injury evidenced on cranial CT;Nominal;0: patients without injury | 1: DAI
Fracture_andor_depression_CT;Fracture and/or depression evidenced on cranial CT;Nominal;0: patients without injury | 1: Fracture and/or depression
SAH_CT;Subarachnoid haemorrhage evidenced on cranial CT;Nominal;0: patients without injury | 1: SAH
SDH_CT;Subdural haematoma evidenced on cranial CT;Nominal;0: patients without injury | 1: SDH
EDH_CT;Epidural haematoma evidenced on cranial CT;Nominal;0: patients without injury | 1: EDH
IPH_CT;Intraparenchymal haemorrhage evidenced on cranial CT;Nominal;0: patients without injury | 1: IPH
Haemoventriculum_CT;Haemoventriculum evidenced on cranial CT;Nominal;0: patients without injury | 1: Haemoventriculum
Cerebral_edema_CT;Cerebral edema  evidenced on cranial CT;Nominal;0: patients without injury | 1: Cerebral edema
Ischaemia_CT;Ischaemia evidenced on cranial CT;Nominal;0: patients without injury | 1: Ischaemia
Pneumocephalus_CT;Pneumocephalus evidenced on cranial CT;Nominal;0: patients without injury | 1: Pneumocephalus
Associated_trauma_presence;Presence of trauma in another segment in addition to the skull;Nominal;0: No | 1: Yes
n_associated_trauma_presence;Number of injured segments in addition to TBI;Nominal;0: None | 1: One | 2: Two | 3: Three or more
Associated_thorax_injury;Associated thorax injury ;Nominal;0: No | 1: Yes
Associated_abdominal_injury;Associated abdominal injury ;Nominal;0: No | 1: Yes
Associated_pelvis_injury;Associated pelvis injury ;Nominal;0: No | 1: Yes
Associated_MRT;Associated MRT ;Nominal;0: No | 1: Yes
Associated_limb_injury;Associated limb injury ;Nominal;0: No | 1: Yes
Associated_face_neck_injury;Associated face and/or neck injury (except spine) ;Nominal;0: No | 1: Yes
Sex; Sex assigned at birth; F= Female | M=Male
GCS_severity; Categorical scale from GCS; 0= Mild|1=Moderate |2=Severe
