PID,valence,arousal
1,70.8,58.6
1,71.75,36
1,83,73.33333333
1,88.16666667,74.33333333
1,89.8,64.6
1,90.83333333,72.33333333
1,95.5,47.66666667
1,95.66666667,62
1,96.5,43
1,97.33333333,55
1,99.5,82
1,99.8,85
1,99.8,63.6
1,100,57
2,56.66666667,53
2,70.2,75.2
2,73.5,70.66666667
2,75.33333333,71.66666667
2,76.2,73.8
2,76.4,84.4
2,76.66666667,69.83333333
2,80.16666667,57.83333333
2,81.33333333,70.16666667
2,85.33333333,68.83333333
2,85.5,79
2,88.66666667,54
2,90.33333333,74
2,92.25,71.5
3,83.33333333,58.66666667
3,85.5,69.33333333
3,86,57.83333333
3,86.5,65.5
3,90.66666667,48.66666667
3,91,55.5
3,91.5,60
3,92.33333333,67.2
3,92.5,66.66666667
3,92.83333333,84.83333333
3,94.16666667,51.5
3,94.75,91.75
3,95.66666667,57.66666667
3,96.16666667,63
4,50,54.16666667
4,54.6,62.6
4,55.66666667,77.16666667
4,61.5,38.16666667
4,63,73.16666667
4,65.2,57.4
4,66.4,71.6
4,66.5,38.5
4,70.16666667,73.66666667
4,71.33333333,69.5
4,79,60.83333333
4,81,69.16666667
4,81.4,80.4
4,85.83333333,84.33333333
5,36,45.33333333
5,40.16666667,48.14285714
5,41.8,52.4
5,43.8,53
5,45,54.6
5,45.6,52.6
5,48.4,66.6
5,50.2,61.4
5,50.4,57.33333333
5,51.4,63.4
5,52,61
5,54.33333333,53
5,55.75,70
5,57.16666667,67.66666667
6,34.4,44.8
6,47.5,50.66666667
6,51.16666667,48
6,53.2,58.6
6,53.33333333,55.5
6,56.8,46.6
6,57.4,51
6,58.6,58
6,59.5,51.83333333
6,59.8,60
6,60.66666667,68.33333333
6,60.83333333,45.33333333
6,62.83333333,50.5
6,63,42.2
7,5.833333333,35.16666667
7,8.4,31.5
7,10.5,37.33333333
7,13.42857143,36.85714286
7,13.8,33.6
7,16.14285714,51.28571429
7,17.57142857,39.85714286
7,18,47
7,19.25,32
7,19.6,39.6
7,22.16666667,38.83333333
7,23,28.83333333
7,55,51.6
7,59,42.2
8,18.6,65.83333333
8,22.75,67
8,25,66
8,29,79.83333333
8,29.2,42.33333333
8,30,53.5
8,42.6,67.2
8,47,56
8,47,50.4
8,48,63.33333333
8,49.16666667,43.5
8,49.33333333,63.2
8,56.25,83.25
8,63.5,72
9,20.33333333,30.83333333
9,29.16666667,42.33333333
9,30.5,41.5
9,35.5,39.33333333
9,42,54.5
9,43.66666667,42.16666667
9,46,41.33333333
9,49.16666667,42.33333333
9,49.66666667,55.5
9,49.71428571,60.85714286
9,50.33333333,33.33333333
9,60.83333333,47.16666667
9,67.5,41.5
9,69,62.33333333
10,51,62.8
10,53.2,50
10,54.33333333,47.16666667
10,56,42.16666667
10,56,46.66666667
10,57.5,54.25
10,61.25,48.2
10,62.33333333,57
10,62.33333333,51.66666667
10,68.6,61.6
10,69.33333333,59
10,69.8,69.6
10,69.83333333,74.16666667
10,73.16666667,57.66666667
11,71.4,69.5
11,71.8,78
11,74,74.16666667
11,74.83333333,74.16666667
11,76,74.5
11,76.83333333,74.16666667
11,78.5,80
11,80.8,77.33333333
11,81.2,75.83333333
11,82.16666667,76
11,83,79.8
11,83.4,80.66666667
11,84.8,78
11,88.6,89.66666667
12,35.16666667,36.66666667
12,52.66666667,50
12,57.6,53
12,57.83333333,56.83333333
12,58.83333333,47.66666667
12,62,62.83333333
12,64.4,54.6
12,66.83333333,60.16666667
12,68.75,53
12,72.16666667,61
12,74.2,63.16666667
12,74.33333333,70.25
12,76.85714286,50.42857143
12,86,68.6
13,48.33333333,46
13,54.5,43
13,71.2,58.4
13,79.66666667,63
13,82.8,68.6
13,83.33333333,71.66666667
13,91.2,79
13,94,83
13,96.83333333,74.66666667
